year_gregorian,year_hijri,region,stage,authority,school_gender,principals,teachers,administrators,classes,students,schools,student_teacher_ratio,students_per_class,students_per_school
2025,1446,Tabuk,Secondary,International,Girls,0,5,0,6,64,3,12.8,10.666666666666666,21.33333333333333
2025,1446,Tabuk,Secondary,International,Boys,0,28,3,17,262,6,9.357142857142858,15.411764705882351,43.66666666666666
2025,1446,Hail,Kindergarten,Public,Girls,54,472,553,372,7677,140,16.264830508474578,20.637096774193548,54.83571428571429
2025,1446,Hail,Kindergarten,Private,Girls,14,96,15,118,1436,23,14.958333333333334,12.169491525423728,62.43478260869565
2025,1446,Hail,Kindergarten,International,Girls,2,34,5,32,504,8,14.823529411764708,15.75,63.0
2025,1446,Hail,Primary,Public,Girls,223,4173,1500,2469,49787,258,11.930745267193863,20.16484406642365,192.97286821705427
2025,1446,Hail,Primary,Public,Boys,182,3594,515,1661,31015,196,8.629660545353367,18.672486453943407,158.23979591836735
2025,1446,Hail,Primary,Private,Girls,4,281,26,206,2753,20,9.797153024911031,13.364077669902912,137.65
2025,1446,Hail,Primary,Private,Boys,4,155,3,101,1996,7,12.87741935483871,19.76237623762376,285.1428571428572
2025,1446,Hail,Primary,International,Girls,4,68,6,76,1385,8,20.36764705882353,18.223684210526315,173.125
2025,1446,Hail,Primary,International,Boys,3,54,3,54,920,7,17.037037037037038,17.037037037037038,131.42857142857142
2025,1446,Hail,Middle,Public,Girls,64,1784,471,722,20439,122,11.45683856502242,28.308864265927976,167.5327868852459
2025,1446,Hail,Middle,Public,Boys,94,2144,213,860,20536,138,9.578358208955224,23.87906976744186,148.81159420289856
2025,1446,Hail,Middle,Private,Girls,3,45,7,31,483,7,10.733333333333333,15.580645161290322,69.0
2025,1446,Hail,Middle,Private,Boys,3,74,2,51,933,6,12.608108108108109,18.294117647058822,155.5
2025,1446,Hail,Middle,International,Girls,2,32,2,22,373,6,11.65625,16.954545454545453,62.16666666666666
2025,1446,Hail,Middle,International,Boys,0,29,3,24,407,7,14.03448275862069,16.958333333333332,58.142857142857146
2025,1446,Hail,Secondary,Public,Girls,57,1950,134,597,18259,89,9.363589743589744,30.58458961474037,205.1573033707865
2025,1446,Hail,Secondary,Public,Boys,70,1921,83,701,18506,91,9.633524206142631,26.399429386590583,203.36263736263737
2025,1446,Hail,Secondary,Private,Girls,1,64,8,41,857,4,13.390625,20.902439024390244,214.25
2025,1446,Hail,Secondary,Private,Boys,0,90,4,69,1381,4,15.344444444444443,20.014492753623188,345.25
2025,1446,Hail,Secondary,International,Girls,1,13,2,8,89,4,6.846153846153846,11.125,22.25
2025,1446,Hail,Secondary,International,Boys,0,7,1,7,96,3,13.714285714285714,13.714285714285714,32.0
2025,1446,Alahsa,Kindergarten,Public,Girls,32,599,203,444,10596,102,17.68948247078464,23.864864864864863,103.88235294117646
2025,1446,Alahsa,Kindergarten,Private,Girls,28,288,67,239,3821,42,13.26736111111111,15.98744769874477,90.97619047619048
2025,1446,Alahsa,Kindergarten,International,Girls,4,95,15,93,1268,18,13.347368421052632,13.634408602150538,70.44444444444444
2025,1446,Alahsa,Primary,Public,Girls,170,4715,888,2925,74641,201,15.830540827147402,25.5182905982906,371.3482587064677
2025,1446,Alahsa,Primary,Public,Boys,129,3708,335,1908,45773,151,12.344390507011866,23.990041928721173,303.1324503311258
2025,1446,Alahsa,Primary,Private,Girls,10,276,18,162,2489,21,9.018115942028986,15.364197530864198,118.52380952380952
2025,1446,Alahsa,Primary,Private,Boys,7,176,13,107,1913,14,10.869318181818182,17.878504672897197,136.64285714285714
2025,1446,Alahsa,Primary,International,Girls,6,241,18,232,3861,17,16.020746887966805,16.642241379310345,227.11764705882356
2025,1446,Alahsa,Primary,International,Boys,4,111,13,103,1799,12,16.207207207207208,17.466019417475728,149.91666666666666
2025,1446,Alahsa,Middle,Public,Girls,71,1918,397,1013,29040,102,15.140771637122002,28.667324777887465,284.7058823529412
2025,1446,Alahsa,Middle,Public,Boys,75,2212,194,1066,29789,107,13.466998191681736,27.944652908067543,278.4018691588785
2025,1446,Alahsa,Middle,Private,Girls,3,77,8,35,627,9,8.142857142857142,17.914285714285715,69.66666666666667
2025,1446,Alahsa,Middle,Private,Boys,5,129,6,73,1355,13,10.503875968992247,18.56164383561644,104.23076923076924
2025,1446,Alahsa,Middle,International,Girls,1,43,9,57,911,14,21.186046511627907,15.982456140350877,65.07142857142857
2025,1446,Alahsa,Middle,International,Boys,2,71,7,64,1041,13,14.661971830985916,16.265625,80.07692307692308
2025,1446,Alahsa,Secondary,Public,Girls,49,2103,119,870,25854,68,12.293865905848788,29.717241379310344,380.2058823529412
2025,1446,Alahsa,Secondary,Public,Boys,57,1828,76,833,24929,62,13.63730853391685,29.926770708283318,402.0806451612903
2025,1446,Alahsa,Secondary,Private,Girls,1,106,10,76,1460,10,13.773584905660377,19.210526315789476,146.0
2025,1446,Alahsa,Secondary,Private,Boys,4,166,4,130,2640,12,15.903614457831326,20.307692307692307,220.0
2025,1446,Alahsa,Secondary,International,Girls,1,52,6,29,443,9,8.51923076923077,15.275862068965518,49.22222222222222
2025,1446,Alahsa,Secondary,International,Boys,0,49,1,34,585,8,11.93877551020408,17.205882352941178,73.125
2025,1446,Aljouf,Kindergarten,Public,Girls,18,486,385,364,9209,109,18.948559670781894,25.29945054945055,84.4862385321101
2025,1446,Aljouf,Kindergarten,Private,Girls,9,80,13,84,1280,18,16.0,15.238095238095235,71.11111111111111
2025,1446,Aljouf,Kindergarten,International,Girls,0,20,4,14,135,5,6.75,9.642857142857142,27.0
2025,1446,Aljouf,Primary,Public,Girls,132,3528,1222,2115,56591,153,16.040532879818596,26.756973995271867,369.87581699346407
2025,1446,Aljouf,Primary,Public,Boys,79,2646,315,999,25294,110,9.559334845049133,25.31931931931932,229.9454545454545
2025,1446,Aljouf,Primary,Private,Girls,13,294,30,213,3513,19,11.948979591836734,16.492957746478872,184.8947368421053
2025,1446,Aljouf,Primary,Private,Boys,14,420,17,277,5391,21,12.835714285714284,19.462093862815884,256.7142857142857
2025,1446,Aljouf,Primary,International,Girls,1,56,8,35,802,5,14.321428571428571,22.914285714285715,160.4
2025,1446,Aljouf,Primary,International,Boys,2,22,1,10,216,3,9.818181818181818,21.6,72.0
2025,1446,Aljouf,Middle,Public,Girls,52,1415,483,632,18923,80,13.373144876325089,29.94145569620253,236.5375
2025,1446,Aljouf,Middle,Public,Boys,57,1287,161,586,17960,78,13.954933954933956,30.648464163822524,230.25641025641025
2025,1446,Aljouf,Middle,Private,Girls,8,88,6,54,932,14,10.590909090909092,17.25925925925926,66.57142857142857
2025,1446,Aljouf,Middle,Private,Boys,13,179,8,121,2530,21,14.134078212290502,20.90909090909091,120.47619047619048
2025,1446,Aljouf,Middle,International,Girls,1,8,2,9,121,3,15.125,13.444444444444445,40.333333333333336
2025,1446,Aljouf,Middle,International,Boys,0,12,1,9,110,3,9.166666666666666,12.22222222222222,36.66666666666666
2025,1446,Aljouf,Secondary,Public,Girls,51,1388,164,466,14900,54,10.734870317002882,31.974248927038627,275.9259259259259
2025,1446,Aljouf,Secondary,Public,Boys,41,988,77,456,14052,44,14.222672064777328,30.81578947368421,319.3636363636364
2025,1446,Aljouf,Secondary,Private,Girls,6,110,12,99,2428,13,22.072727272727278,24.52525252525253,186.7692307692308
2025,1446,Aljouf,Secondary,Private,Boys,8,243,9,147,3649,18,15.016460905349794,24.82312925170068,202.72222222222223
2025,1446,Aljouf,Secondary,International,Girls,1,6,0,6,55,2,9.166666666666666,9.166666666666666,27.5
2025,1446,Aljouf,Secondary,International,Boys,0,5,1,6,51,2,10.2,8.5,25.5
,,nan,nan,nan,nan,0,0,0,0,0,0,,,
2025,1446,Eastern,Kindergarten,Public,Girls,48,1323,549,946,22279,255,16.83975812547241,23.5507399577167,87.3686274509804
2025,1446,Eastern,Kindergarten,Private,Girls,69,1318,293,847,13870,160,10.523520485584218,16.3754427390791,86.6875
2025,1446,Eastern,Kindergarten,International,Girls,12,775,143,643,9027,104,11.647741935483872,14.038880248833593,86.79807692307692
2025,1446,Eastern,Primary,Public,Girls,324,9846,3778,6687,186595,424,18.951350802356288,27.90414236578436,440.0825471698113
2025,1446,Eastern,Primary,Public,Boys,205,5691,477,3565,95233,264,16.733965911087683,26.713323983169705,360.7310606060606
2025,1446,Eastern,Primary,Private,Girls,77,2136,341,1288,19489,116,9.124063670411983,15.131211180124224,168.00862068965515
2025,1446,Eastern,Primary,Private,Boys,48,1554,65,907,16375,74,10.537323037323038,18.054024255788317,221.28378378378375
2025,1446,Eastern,Primary,International,Girls,60,1857,257,1445,25374,90,13.663974151857834,17.5598615916955,281.93333333333334
2025,1446,Eastern,Primary,International,Boys,21,1046,109,859,18673,62,17.851816443594647,21.738067520372525,301.1774193548387
2025,1446,Eastern,Primary,Royal Commission Schools,Boys,13,505,15,292,9019,14,17.85940594059406,30.886986301369863,644.2142857142857
2025,1446,Eastern,Middle,Public,Girls,154,4451,1588,2358,72403,225,16.266681644574252,30.70525869380831,321.7911111111111
2025,1446,Eastern,Middle,Public,Boys,126,3642,303,2164,64755,200,17.780065897858318,29.923752310536045,323.775
2025,1446,Eastern,Middle,Private,Girls,15,506,90,247,4594,55,9.079051383399207,18.59919028340081,83.52727272727273
2025,1446,Eastern,Middle,Private,Boys,31,808,46,500,9856,73,12.198019801980198,19.712,135.013698630137
2025,1446,Eastern,Middle,International,Girls,8,464,53,283,4926,57,10.616379310344827,17.406360424028268,86.42105263157895
2025,1446,Eastern,Middle,International,Boys,6,576,66,517,11941,64,20.73090277777778,23.096711798839458,186.578125
2025,1446,Eastern,Middle,Royal Commission Schools,Boys,9,281,9,151,4978,9,17.715302491103202,32.966887417218544,553.1111111111111
2025,1446,Eastern,Secondary,Public,Girls,122,4874,998,2057,67387,165,13.8258104226508,32.75984443364123,408.4060606060606
2025,1446,Eastern,Secondary,Public,Boys,107,4270,125,1907,58344,137,13.663700234192037,30.59465128474043,425.86861313868616
2025,1446,Eastern,Secondary,Private,Girls,10,442,73,270,5785,39,13.088235294117649,21.425925925925927,148.33333333333334
2025,1446,Eastern,Secondary,Private,Boys,25,952,31,611,13257,64,13.925420168067228,21.69721767594108,207.140625
2025,1446,Eastern,Secondary,International,Girls,2,257,40,142,2449,35,9.529182879377432,17.246478873239436,69.97142857142858
2025,1446,Eastern,Secondary,International,Boys,12,517,60,363,8326,43,16.104448742746616,22.9366391184573,193.62790697674416
2025,1446,Eastern,Secondary,Royal Commission Schools,Boys,7,252,7,123,4003,7,15.884920634920634,32.54471544715447,571.8571428571429
2025,1446,Northern Borders,Kindergarten,Public,Girls,25,246,99,210,5233,56,21.27235772357724,24.919047619047618,93.44642857142856
2025,1446,Northern Borders,Kindergarten,Private,Girls,7,45,9,47,704,13,15.644444444444444,14.97872340425532,54.15384615384615
2025,1446,Northern Borders,Kindergarten,International,Girls,2,19,0,18,246,4,12.947368421052632,13.666666666666666,61.5
2025,1446,Northern Borders,Primary,Public,Girls,97,1983,381,1138,28045,103,14.14271306101866,24.644112478031637,272.28155339805824
2025,1446,Northern Borders,Primary,Public,Boys,73,1660,74,770,19223,79,11.580120481927713,24.964935064935062,243.32911392405063
2025,1446,Northern Borders,Primary,Private,Girls,2,134,13,103,1326,12,9.8955223880597,12.87378640776699,110.5
2025,1446,Northern Borders,Primary,Private,Boys,7,156,10,116,2275,9,14.583333333333334,19.61206896551724,252.77777777777777
2025,1446,Northern Borders,Primary,International,Girls,2,46,3,32,554,4,12.043478260869565,17.3125,138.5
2025,1446,Northern Borders,Primary,International,Boys,1,15,0,12,212,2,14.133333333333333,17.666666666666668,106.0
2025,1446,Northern Borders,Middle,Public,Girls,39,861,157,409,11162,54,12.963995354239255,27.290953545232277,206.7037037037037
2025,1446,Northern Borders,Middle,Public,Boys,40,834,39,373,10658,53,12.77937649880096,28.57372654155496,201.0943396226415
2025,1446,Northern Borders,Middle,Private,Girls,1,17,3,18,229,6,13.470588235294118,12.72222222222222,38.16666666666666
2025,1446,Northern Borders,Middle,Private,Boys,2,69,2,47,1087,9,15.753623188405795,23.127659574468087,120.77777777777776
2025,1446,Northern Borders,Middle,International,Girls,0,4,1,4,37,2,9.25,9.25,18.5
2025,1446,Northern Borders,Middle,International,Boys,0,8,0,4,64,1,8.0,16.0,64.0
2025,1446,Northern Borders,Secondary,Public,Girls,33,908,41,324,9557,40,10.525330396475772,29.496913580246915,238.925
2025,1446,Northern Borders,Secondary,Public,Boys,35,751,13,309,9531,37,12.691078561917443,30.84466019417476,257.5945945945946
2025,1446,Northern Borders,Secondary,Private,Girls,3,30,5,26,573,6,19.1,22.03846153846154,95.5
2025,1446,Northern Borders,Secondary,Private,Boys,4,55,0,41,1141,8,20.745454545454542,27.82926829268293,142.625
,,nan,nan,nan,nan,0,0,0,0,0,0,,,
,,nan,nan,nan,nan,0,0,0,0,0,0,,,
2025,1446,Makkah,Kindergarten,Public,Girls,68,998,555,849,18299,262,18.33567134268537,21.55359246171967,69.84351145038168
2025,1446,Makkah,Kindergarten,Private,Girls,42,388,77,380,5576,80,14.371134020618555,14.673684210526316,69.7
2025,1446,Makkah,Kindergarten,International,Girls,0,114,15,91,1314,17,11.526315789473683,14.43956043956044,77.29411764705883
2025,1446,Makkah,Primary,Public,Girls,381,9795,2422,6156,153365,464,15.657478305257785,24.91309291747888,330.5280172413793
2025,1446,Makkah,Primary,Public,Boys,220,7469,634,3278,78261,301,10.478109519346631,23.87461866992068,260.0033222591362
2025,1446,Makkah,Primary,Private,Girls,37,723,77,507,6461,57,8.936376210235132,12.743589743589745,113.35087719298244
2025,1446,Makkah,Primary,Private,Boys,19,571,22,382,6381,27,11.175131348511384,16.70418848167539,236.33333333333331
2025,1446,Makkah,Primary,International,Girls,4,379,41,211,4010,19,10.58047493403694,19.00473933649289,211.05263157894737
2025,1446,Makkah,Primary,International,Boys,2,147,4,112,1972,12,13.414965986394558,17.607142857142858,164.33333333333334
2025,1446,Makkah,Middle,Public,Girls,132,3946,945,1991,58226,241,14.75570197668525,29.24460070316424,241.60165975103732
2025,1446,Makkah,Middle,Public,Boys,145,5166,351,2249,58422,233,11.308943089430894,25.976878612716764,250.73819742489272
2025,1446,Makkah,Middle,Private,Girls,9,193,35,104,1637,22,8.481865284974093,15.740384615384617,74.4090909090909
2025,1446,Makkah,Middle,Private,Boys,10,340,19,223,3701,25,10.885294117647058,16.59641255605381,148.04
2025,1446,Makkah,Middle,International,Girls,0,74,9,48,920,11,12.432432432432432,19.166666666666668,83.63636363636364
2025,1446,Makkah,Middle,International,Boys,0,88,1,58,953,12,10.829545454545457,16.43103448275862,79.41666666666667
2025,1446,Makkah,Secondary,Public,Girls,132,4666,350,1695,53253,162,11.412987569652808,31.417699115044247,328.72222222222223
2025,1446,Makkah,Secondary,Public,Boys,113,4298,140,1744,49499,132,11.516751977664027,28.38245412844037,374.99242424242425
2025,1446,Makkah,Secondary,Private,Girls,7,239,19,173,3244,16,13.573221757322177,18.751445086705203,202.75
2025,1446,Makkah,Secondary,Private,Boys,17,470,16,301,6669,22,14.18936170212766,22.156146179401997,303.1363636363636
2025,1446,Makkah,Secondary,International,Girls,2,40,6,22,362,5,9.05,16.454545454545453,72.4
2025,1446,Makkah,Secondary,International,Boys,1,42,1,27,443,9,10.547619047619047,16.40740740740741,49.22222222222222
2025,1446,Madinah,Kindergarten,Public,Girls,69,1562,611,940,21690,319,13.886043533930858,23.074468085106385,67.99373040752351
2025,1446,Madinah,Kindergarten,Private,Girls,47,457,78,449,5925,101,12.964989059080963,13.195991091314031,58.66336633663367
2025,1446,Madinah,Kindergarten,International,Girls,12,176,31,133,1953,29,11.096590909090908,14.68421052631579,67.34482758620689
2025,1446,Madinah,Primary,Public,Girls,359,9745,2581,5787,141246,424,14.494202154951257,24.40746500777605,333.12735849056605
2025,1446,Madinah,Primary,Public,Boys,236,6464,581,2924,66455,303,10.280785891089108,22.72742818057456,219.32343234323432
2025,1446,Madinah,Primary,Private,Girls,46,1017,94,754,9091,72,8.939036381514258,12.057029177718832,126.26388888888889
2025,1446,Madinah,Primary,Private,Boys,12,444,13,282,5512,21,12.414414414414416,19.54609929078014,262.4761904761905
2025,1446,Madinah,Primary,International,Girls,12,527,46,367,6192,32,11.749525616698293,16.87193460490463,193.5
2025,1446,Madinah,Primary,International,Boys,7,190,9,129,1987,23,10.457894736842103,15.4031007751938,86.3913043478261
2025,1446,Madinah,Primary,Royal Commission Schools,Boys,7,286,1,115,2343,8,8.192307692307692,20.37391304347826,292.875
2025,1446,Madinah,Middle,Public,Girls,150,4264,1082,1991,52931,248,12.413461538461538,26.585133098945253,213.43145161290323
2025,1446,Madinah,Middle,Public,Boys,144,4571,310,1979,50516,253,11.051411069787791,25.526023244062657,199.6679841897233
2025,1446,Madinah,Middle,Private,Girls,5,231,21,129,2139,29,9.25974025974026,16.58139534883721,73.75862068965517
2025,1446,Madinah,Middle,Private,Boys,9,255,8,166,3487,21,13.674509803921568,21.00602409638554,166.04761904761904
2025,1446,Madinah,Middle,International,Girls,3,129,13,94,1307,21,10.131782945736434,13.904255319148936,62.23809523809524
2025,1446,Madinah,Middle,International,Boys,4,109,4,96,1496,22,13.724770642201834,15.583333333333334,68.0
2025,1446,Madinah,Middle,Royal Commission Schools,Boys,6,249,1,106,2262,6,9.08433734939759,21.339622641509436,377.0
2025,1446,Madinah,Secondary,Public,Girls,122,4109,395,1622,47777,169,11.627403261134097,29.45561035758323,282.70414201183434
2025,1446,Madinah,Secondary,Public,Boys,113,3959,136,1579,43310,144,10.939631220005053,27.42875237492084,300.7638888888889
2025,1446,Madinah,Secondary,Private,Girls,19,391,50,301,5337,31,13.649616368286445,17.730897009966778,172.16129032258064
2025,1446,Madinah,Secondary,Private,Boys,13,455,3,315,7275,18,15.989010989010987,23.09523809523809,404.1666666666667
2025,1446,Madinah,Secondary,International,Girls,1,86,7,43,571,19,6.6395348837209305,13.27906976744186,30.05263157894737
2025,1446,Madinah,Secondary,International,Boys,0,76,3,49,726,16,9.552631578947368,14.816326530612244,45.375
2025,1446,Madinah,Secondary,Royal Commission Schools,Boys,4,233,1,78,1680,4,7.210300429184549,21.53846153846154,420.0
